"asin","locale","price","proudct_name","product_link"
"078669324X",CA,"16.87",You Can Teach Yourself Dobro,https://www.amazon.com/dp/078669324X?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
"1562222430",CA,"14.99",Easy Solos for Beginning Cello Level 1,https://www.amazon.com/dp/1562222430?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
"1562222430",US,"14.99","Easy Solos for Beginning Cello, Level 1",https://www.amazon.com/dp/1562222430?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
"3802406397",CA,"2.59","Alto Saxophone Basics, English Edition Book/CD Set",https://www.amazon.com/dp/3802406397?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0000ACM1K,US,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Taupe, 26",https://www.amazon.com/dp/B0000ACM1K?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0000ACM1N,CA,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Taupe, 30",https://www.amazon.com/dp/B0000ACM1N?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0000ACM1N,US,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Taupe, 30",https://www.amazon.com/dp/B0000ACM1N?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0000ACM1S,CA,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Taupe, 34",https://www.amazon.com/dp/B0000ACM1S?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0000ACM1S,US,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Taupe, 34",https://www.amazon.com/dp/B0000ACM1S?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0000ACM1U,CA,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Taupe, 36",https://www.amazon.com/dp/B0000ACM1U?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0000ACM1U,US,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Taupe, 36",https://www.amazon.com/dp/B0000ACM1U?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0000DE9B5,CA,"25.99","Bormioli Rocco Frigoverre Jug with Hermetic Lid, 2-Liters",https://www.amazon.com/dp/B0000DE9B5?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0000DE9B5,US,"25.99","Bormioli Rocco Frigoverre Jug with Hermetic Lid, 68 oz, 2 Liter, DD- By Size",https://www.amazon.com/dp/B0000DE9B5?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0000TQJGA,CA,"59.99","Table Mate XL TV Tray Extra Large Folding Table Adjustable to 6 Heights and 4 Angles for Eating, Laptop and Multipurpose Use (White)",https://www.amazon.com/dp/B0000TQJGA?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0000TQJGA,US,"59.99","Table Mate XL TV Tray Extra Large Folding Table Adjustable to 6 Heights and 4 Angles for Eating, Laptop and Multipurpose Use (White)",https://www.amazon.com/dp/B0000TQJGA?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0001BMYHA,CA,"9.99","BORMIOLI ROCCO 418330F27321990 Fido Square Jar, 67.75 oz, Clear",https://www.amazon.com/dp/B0001BMYHA?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0001BMYHA,US,"9.99","Bormioli Rocco Fido Glass Canning Jar Italian 67Â¾ oz-2 Liter, 67.75 oz, Clear",https://www.amazon.com/dp/B0001BMYHA?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
